known_status,reaction_id,mcid,pdg_identifier,title,reactant_names_aaa,product_names_aaa,reactant_electrinos,product_electrinos,electrino_delta,reactant_positrinos,product_positrinos,positrino_delta
u,b0_s042_178,511,S042.178/2025,B0 decay mode 439,d.ad3,d2.ad2.u.au.d.ad,34,34,0,34,34,0
u,b0_s042_193,511,S042.193/2025,B0 decay mode 420,d.ad3,d2.ad2.hp,16,16,0,16,16,0
u,b0_s042_228,511,S042.228/2025,B0 decay mode 356,d.ad3,d.ad2.au.d2.u.ad,34,34,0,34,34,0
u,b0_s042_230,511,S042.230/2025,B0 decay mode 359,d.ad3,u.ad2.au.d2.u.au.d.ad,46,46,0,46,46,0
u,b0_s042_381,511,S042.381/2025,B0 decay mode 557,d.ad3,u.au.d.ad.ae2.e2,34,34,0,34,34,0
u,b0_s042_405,511,S042.405/2025,B0 decay mode 550,d.ad3,ae2.e2.hp,16,16,0,16,16,0
u,b0_s042_519,511,S042.519/2025,B0 decay mode 559,d.ad3,u.au.d.ad.d2.ad2.ae.e,46,46,0,46,46,0
u,b0_s042_550,511,S042.550/2025,B0 decay mode 577,d.ad3,u.ad.d.au.ae2.e2,34,34,0,34,34,0
u,b0_s042_570,511,S042.570/2025,B0 decay mode 442,d.ad3,d2.ad2.u.ad.d.au,34,34,0,34,34,0
u,b0_s042_572,511,S042.572/2025,B0 decay mode 483,d.ad3,P.aP.u.ad2.au.d2,58,58,0,58,58,0
u,b0_s042_60,511,S042.60/2025,B0 decay mode 425,d.ad3,u.au.d.ad.d2.ad2.u.au.d.ad,58,58,0,58,58,0
u,b0_s042_7,511,S042.7/2025,B0 decay mode 549,d.ad3,ae2.e2,10,10,0,10,10,0
u,b0_s042_83,511,S042.83/2025,B0 decay mode 24,d.ad3,d.au.ae2.v2,22,22,0,22,22,0
u,b_plus_s041_183,521,S041.183/2025,B+ decay mode 40,u.ad3,ae2.v2,7,7,0,13,13,0
u,b_plus_s041_235,521,S041.235/2025,B+ decay mode 44,u.ad3,ae2.v2.hp,13,13,0,19,19,0
u,b_plus_s041_241,521,S041.241/2025,B+ decay mode 448,u.ad3,u.ad2.ad.d2,19,19,0,25,25,0
u,b_plus_s041_254,521,S041.254/2025,B+ decay mode 546,u.ad3,d2.ad2.u.ad,19,19,0,25,25,0
u,b_plus_s041_284,521,S041.284/2025,B+ decay mode 455,u.ad3,u.ad2.au.d2.u.ad,31,31,0,37,37,0
u,b_plus_s041_285,521,S041.285/2025,B+ decay mode 461,u.ad3,u.ad2.u.ad2.d.au,31,31,0,37,37,0
u,b_plus_s041_306,521,S041.306/2025,B+ decay mode 449,u.ad3,ad.d2.u.ad2.u.au.d.ad,43,43,0,49,49,0
u,b_plus_s041_586,521,S041.586/2025,B+ decay mode 655,u.ad3,u.ad.ae.e3,19,19,0,25,25,0
